RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
434860,18H09390,2018-08-24 21:57:00,2018,8,21,24,9S,SHOOTING,,FIREARM,EASTERN,DUNBAR-BROADWAY,PUBLIC AREA,39.29608245620573,-76.59146896795244,0.92,0.03,27000,0.38,Black
434861,18H09042,2018-08-24 01:00:00,2018,8,1,24,5D,BURGLARY,,UNKNOWN,NORTHERN,BETTER WAVERLY,OTHER - INSIDE,39.318589824270695,-76.60928812569738,0.78,0.15,42000,0.2,Black
434862,18H09060,2018-08-24 04:12:00,2018,8,4,24,4E,COMMON ASSAULT,,UNKNOWN,EASTERN,OLDTOWN,OTHER/RESIDENTIAL,39.29951255236231,-76.60221960499969,0.63,0.28,52000,0.22,Black
434863,18H09244,2018-08-24 14:40:00,2018,8,14,24,4E,COMMON ASSAULT,,UNKNOWN,SOUTHEAST,BUTCHER'S HILL,ROW/TOWNHOUSE-OCC,39.291926670684205,-76.5879379091379,0.63,0.28,52000,0.22,Black
434864,18K02584,2018-11-07 14:30:00,2018,11,14,7,6J,LARCENY,,UNKNOWN,NORTHERN,CHARLES NORTH,STREET,39.31318004583622,-76.61802993929854,0.63,0.28,52000,0.22,Black
434865,18K02720,2018-11-07 20:53:00,2018,11,20,7,3AF,ROBBERY,,FIREARM,NORTHEAST,PERRING LOCH,STREET,39.35148924885179,-76.58643015576534,0.63,0.28,52000,0.22,Black
434866,18K02753,2018-11-07 21:58:00,2018,11,21,7,4A,AGG. ASSAULT,,FIREARM,NORTHERN,ABELL,STREET,39.32362291502385,-76.60971175425645,0.2,0.68,58000,0.12,White
434867,18K02581,2018-11-07 09:00:00,2018,11,9,7,5A,BURGLARY,,UNKNOWN,SOUTHEAST,RIVERSIDE,ROW/TOWNHOUSE-OCC,39.27661917975822,-76.6107672023801,0.63,0.28,52000,0.22,Black
434868,18K02751,2018-11-07 21:55:00,2018,11,21,7,9S,SHOOTING,,FIREARM,SOUTHWEST,CARROLLTON RIDGE,ALLEY,39.28033506721583,-76.65214193313241,0.63,0.28,52000,0.22,Black
434869,18K02605,2018-11-07 14:50:00,2018,11,14,7,4E,COMMON ASSAULT,,UNKNOWN,WESTERN,POPPLETON,SCHOOL,39.29230982644995,-76.63413075690745,0.91,0.03,25000,0.41,Black
434870,18K35058,2018-11-07 13:40:00,2018,11,13,7,6J,LARCENY,,UNKNOWN,CENTRAL,INNER HARBOR,UNKNOWN,39.28730951186529,-76.6114312356017,0.2,0.65,72000,0.1,White
434871,18K07599,2018-11-07 09:00:00,2018,11,9,7,5A,BURGLARY,,UNKNOWN,NORTHWEST,CONCERNED CITIZENS OF FOREST PARK,ROW/TOWNHOUSE-OCC,39.32190062362563,-76.68191229693122,0.9,0.04,30000,0.34,Black
434872,18K02363,2018-11-07 02:41:00,2018,11,2,7,9S,SHOOTING,,FIREARM,NORTHEAST,FRANKFORD,PUBLIC AREA,39.324995078551794,-76.54037285582643,0.65,0.22,39000,0.25,Black
434873,18K02691,2018-11-07 09:00:00,2018,11,9,7,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHERN,BETTER WAVERLY,PARKING LOT-OUTSIDE,39.32241302631764,-76.60917629356973,0.78,0.15,42000,0.2,Black
434874,18K02745,2018-11-07 20:45:00,2018,11,20,7,3AF,ROBBERY,,FIREARM,WESTERN,EASTERWOOD,STREET,39.30567174011504,-76.65221709782398,0.63,0.28,52000,0.22,Black
434875,18K02713,2018-11-07 18:45:00,2018,11,18,7,3BJ,ROBBERY - CARJACKING,,UNKNOWN,NORTHEAST,WESTFIELD,STREET,39.35580532272637,-76.55112083963107,0.63,0.28,52000,0.22,Black
434876,18K05734,2018-11-10 14:00:00,2018,11,14,10,6E,LARCENY,,UNKNOWN,NORTHWEST,WOODMERE,UNKNOWN,39.341961487174814,-76.68405525228523,0.63,0.28,52000,0.22,Black
434877,18K03644,2018-11-10 02:45:00,2018,11,2,10,3AK,ROBBERY,,KNIFE,NORTHEAST,CLIFTON PARK,STREET,39.32050265761537,-76.57507817308854,0.89,0.05,31000,0.33,Black
434878,18K03697,2018-11-10 10:47:00,2018,11,10,10,4E,COMMON ASSAULT,,UNKNOWN,EASTERN,DUNBAR-BROADWAY,HOSP/NURS. HOME,39.2968850967692,-76.59243063613782,0.92,0.03,27000,0.38,Black
